name,company_id,movie,movie_id
20th Century Fox Home Entertainment,0297163,Monkeybone,166276
20th Century Fox Home Entertainment,0280047,Monkeybone,166276
20th Century Fox Home Entertainment,0010224,Monkeybone,166276
20th Century Fox Home Entertainment,0010224,Monkeybone,166276
20th Century Fox Home Entertainment,0010224,Monkeybone,166276
20th Television,0161074,Monkeybone,166276
Anchor Bay Entertainment,0067793,Monkeybone,166276
Anchor Bay Entertainment,0067793,Monkeybone,166276
EuroVideo,0041475,Monkeybone,166276
FS Film,0363592,Monkeybone,166276
FS Film,0363592,Monkeybone,166276
Gativideo,0044350,Monkeybone,166276
Mainostelevisio (MTV3),0069920,Monkeybone,166276
RTL Entertainment,0112383,Monkeybone,166276
Twentieth Century Fox Home Entertainment,0189783,Monkeybone,166276
Twentieth Century Fox Home Entertainment,0189783,Monkeybone,166276
Columbia TriStar Films de España,0057443,The Trumpet of the Swan,206367
Columbia TriStar Home Entertainment,0127120,The Trumpet of the Swan,206367
Columbia TriStar Home Video,0063990,The Trumpet of the Swan,206367
Columbia TriStar,0001850,The Trumpet of the Swan,206367
Columbia TriStar,0001850,The Trumpet of the Swan,206367
Disney Channel,0022105,The Trumpet of the Swan,206367
TriStar Pictures,0005883,The Trumpet of the Swan,206367
Toei Company,0053157,One Piece: Clockwork Island Adventure,832449
Kazé Germany,0453279,One Piece: Clockwork Island Adventure,832449
Kazé Germany,0453279,One Piece: Clockwork Island Adventure,832449
Toho Company,0002219,Doraemon: Nobita and the Winged Braves,306741
Pony Canyon,0017081,Doraemon: Nobita and the Winged Braves,306741
Universe Films Distribution Company,0080502,Doraemon: Nobita and the Winged Braves,306741
Universe Laser & Video Co. Ltd.,0070089,Doraemon: Nobita and the Winged Braves,306741
Septième Factory,0305342,Tootletubs & Jyro,287058
Twin Film,0115426,Tootletubs & Jyro,287058
Folkets Bio,0099930,Tootletubs & Jyro,287058
Sandrew Metronome Distribution,0050310,Tootletubs & Jyro,287058
Twin Video,0219498,Tootletubs & Jyro,287058
China Star Entertainment,0003221,Old Master Q 2001,199898
Mei Ah Entertainment,0022895,Old Master Q 2001,199898
Luk Internacional S.A.,0124432,Shin Chan: The Adult Empire Strikes Back,831848
AV Visionen Filmverleih,0312450,Detective Conan: Countdown to Heaven,1073223
Anime Virtual,0203559,Detective Conan: Countdown to Heaven,1073223
DreamWorks Distribution,0067641,Shrek,126029
CJ Entertainment,0043365,Shrek,126029
East West,0006285,Shrek,126029
Paramount Films of India,0318358,Shrek,126029
United International Pictures (UIP),0097402,Shrek,126029
United International Pictures (UIP),0112572,Shrek,126029
United International Pictures (UIP),0262438,Shrek,126029
United International Pictures (UIP),0112575,Shrek,126029
United International Pictures (UIP),0125155,Shrek,126029
United International Pictures (UIP),0262253,Shrek,126029
United International Pictures (UIP),0142899,Shrek,126029
United International Pictures (UIP),0097405,Shrek,126029
United International Pictures (UIP),0080445,Shrek,126029
United International Pictures (UIP),0016600,Shrek,126029
United International Pictures (UIP),0000994,Shrek,126029
United International Pictures (UIP),0074139,Shrek,126029
United International Pictures (UIP),0074139,Shrek,126029
United International Pictures (UIP),0097404,Shrek,126029
United International Pictures (UIP),0187645,Shrek,126029
United International Pictures (UIP),0327289,Shrek,126029
United International Pictures (UIP),0375364,Shrek,126029
United International Pictures (UIP),0040026,Shrek,126029
United International Pictures (UIP),0175527,Shrek,126029
United International Pictures (UIP),0128218,Shrek,126029
United International Pictures (UIP),0349750,Shrek,126029
United International Pictures (UIP),0110120,Shrek,126029
United International Pictures (UIP),0043417,Shrek,126029
United International Pictures (UIP),0168807,Shrek,126029
United International Pictures (UIP),0150829,Shrek,126029
United International Pictures (UIP),0113995,Shrek,126029
United International Pictures (UIP),0350060,Shrek,126029
United International Pictures (UIP),0130609,Shrek,126029
