name,person_id,movie,movie_id
Koon-Lan Law,0492350,Old Master Q 2001,199898
Emily Kwan,0477066,Old Master Q 2001,199898
Tats Lau,0490624,Old Master Q 2001,199898
Joe Junior,0432696,Old Master Q 2001,199898
Shiu Hung Hui,0401208,Old Master Q 2001,199898
Frankie Chi-Hung Ng,0628734,Old Master Q 2001,199898
Chi-Sing Lam,0482579,Old Master Q 2001,199898
Sammuel Leung,0504989,Old Master Q 2001,199898
Lan Law,0492352,Old Master Q 2001,199898
Mei-Yee Sze,0843865,Old Master Q 2001,199898
Suet Lam,0482695,Old Master Q 2001,199898
Chak Wong,0996614,Old Master Q 2001,199898
Yiu-Ming Lee,0497551,Old Master Q 2001,199898
Wai-Man Lee,3808746,Old Master Q 2001,199898
Chi-Wang Wong,1708548,Old Master Q 2001,199898
Pinky Yau,3012040,Old Master Q 2001,199898
Akiko Yajima,0944985,Shin Chan: The Adult Empire Strikes Back,831848
Miki Narahashi,0621200,Shin Chan: The Adult Empire Strikes Back,831848
Keiji Fujiwara,0297873,Shin Chan: The Adult Empire Strikes Back,831848
Satomi Kôrogi,0465631,Shin Chan: The Adult Empire Strikes Back,831848
Nobutoshi Canna,0370650,Shin Chan: The Adult Empire Strikes Back,831848
Hisao Egawa,0250752,Shin Chan: The Adult Empire Strikes Back,831848
Junko Hagimori,0353697,Shin Chan: The Adult Empire Strikes Back,831848
Tamao Hayashi,0370657,Shin Chan: The Adult Empire Strikes Back,831848
Teiyû Ichiryûsai,0840642,Shin Chan: The Adult Empire Strikes Back,831848
Sayuri Ikemoto,0407497,Shin Chan: The Adult Empire Strikes Back,831848
Kentarô Itô,0411794,Shin Chan: The Adult Empire Strikes Back,831848
Sakurako Kishiro,0452218,Shin Chan: The Adult Empire Strikes Back,831848
Chie Kitagawa,1789205,Shin Chan: The Adult Empire Strikes Back,831848
Ai Kobayashi,0461981,Shin Chan: The Adult Empire Strikes Back,831848
Chiharu Kojima,5295275,Shin Chan: The Adult Empire Strikes Back,831848
Kazuki Kosakai,0466908,Shin Chan: The Adult Empire Strikes Back,831848
Kyouko Kudou,12132696,Shin Chan: The Adult Empire Strikes Back,831848
Hisako Kyôda,0477449,Shin Chan: The Adult Empire Strikes Back,831848
Mari Mashiba,0556318,Shin Chan: The Adult Empire Strikes Back,831848
Ginzô Matsuo,0559604,Shin Chan: The Adult Empire Strikes Back,831848
Yûko Mita,0593047,Shin Chan: The Adult Empire Strikes Back,831848
Kotono Mitsuishi,0594074,Shin Chan: The Adult Empire Strikes Back,831848
Rokurô Naya,0623220,Shin Chan: The Adult Empire Strikes Back,831848
Tomoko Ohtsuka,12232806,Shin Chan: The Adult Empire Strikes Back,831848
Kôsuke Okano,0645522,Shin Chan: The Adult Empire Strikes Back,831848
Chie Satô,0766333,Shin Chan: The Adult Empire Strikes Back,831848
Tsutomu Sekine,0782873,Shin Chan: The Adult Empire Strikes Back,831848
Reiko Suzuki,0840657,Shin Chan: The Adult Empire Strikes Back,831848
Kenichi Suzumura,0840720,Shin Chan: The Adult Empire Strikes Back,831848
Yumi Takada,2405918,Shin Chan: The Adult Empire Strikes Back,831848
Roko Takizawa,1695141,Shin Chan: The Adult Empire Strikes Back,831848
Sakiko Tamagawa,0848408,Shin Chan: The Adult Empire Strikes Back,831848
Michie Tomizawa,0593911,Shin Chan: The Adult Empire Strikes Back,831848
Masane Tsukayama,0875364,Shin Chan: The Adult Empire Strikes Back,831848
Emi Uwagawa,0882650,Shin Chan: The Adult Empire Strikes Back,831848
Takeharu Ônishi,1394531,Shin Chan: The Adult Empire Strikes Back,831848
Minami Takayama,0847439,Detective Conan: Countdown to Heaven,1073223
Wakana Yamazaki,0906722,Detective Conan: Countdown to Heaven,1073223
Kappei Yamaguchi,0945322,Detective Conan: Countdown to Heaven,1073223
Akira Kamiya,0436776,Detective Conan: Countdown to Heaven,1073223
Ikue Ôtani,0649026,Detective Conan: Countdown to Heaven,1073223
Yukiko Iwai,0412520,Detective Conan: Countdown to Heaven,1073223
Ken'ichi Ogata,0644524,Detective Conan: Countdown to Heaven,1073223
Naoko Matsui,0559471,Detective Conan: Countdown to Heaven,1073223
Chafûrin,0149218,Detective Conan: Countdown to Heaven,1073223
Kazuhiko Inoue,0409287,Detective Conan: Countdown to Heaven,1073223
Mie Akagi,2863065,Detective Conan: Countdown to Heaven,1073223
Isshin Chiba,0157120,Detective Conan: Countdown to Heaven,1073223
Asako Dodo,1135905,Detective Conan: Countdown to Heaven,1073223
Toshiko Fujita,0297847,Detective Conan: Countdown to Heaven,1073223
Kôichi Hashimoto,0368060,Detective Conan: Countdown to Heaven,1073223
Yukitoshi Hori,0394662,Detective Conan: Countdown to Heaven,1073223
Kazuya Ichijô,0406707,Detective Conan: Countdown to Heaven,1073223
Takayuki Inoue,0409318,Detective Conan: Countdown to Heaven,1073223
Katsuyuki Konishi,0465160,Detective Conan: Countdown to Heaven,1073223
Jûrôta Kosugi,0467558,Detective Conan: Countdown to Heaven,1073223
Ichirô Nagai,0619077,Detective Conan: Countdown to Heaven,1073223
Toshihiko Nakajima,0015320,Detective Conan: Countdown to Heaven,1073223
Junichi Sugawara,0837427,Detective Conan: Countdown to Heaven,1073223
Fumihiko Tachiki,0846192,Detective Conan: Countdown to Heaven,1073223
Wataru Takagi,0847085,Detective Conan: Countdown to Heaven,1073223
Sakiko Tamagawa,0848408,Detective Conan: Countdown to Heaven,1073223
Hidenari Ugaki,0880045,Detective Conan: Countdown to Heaven,1073223
Takeshi Watabe,0913780,Detective Conan: Countdown to Heaven,1073223
Alison Viktorin,1516108,Detective Conan: Countdown to Heaven,1073223
Jerry Jewell,1235266,Detective Conan: Countdown to Heaven,1073223
Colleen Clinkenbeard,1513684,Detective Conan: Countdown to Heaven,1073223
R. Bruce Elliott,0254602,Detective Conan: Countdown to Heaven,1073223
