producers,directors
"['1971028', '1512787', '5844611', '1474983', '2855084']","['1971028', '1512787', '1474983', '2855084']"
"['0441358', '0766279', '7180758', '0648770']",['0766279']
"['2807622', '6367112']",['2807622']
"['7145824', '6582970']",['5392878']
"['8968055', '7408854', '1745937', '1090121', '10112291']","['8658786', '3815946']"
[],['2518118']
"['0441358', '0766279', '7180758', '0648770']",['0766279']
"['5954898', '7284052', '1645959', '5941055', '7284053', '7284057', '4784934', '7171729', '0358175', '7284056', '2612510', '7284061', '1963114', '7284054', '2967186', '7284047', '7284059', '7284055']","['7284047', '7284048']"
"['0441358', '0766279', '7180758', '0648770']",['0766279']
"['1633269', '1480420', '3998195', '1491111', '3707356', '5981536', '3999020', '2652213', '0921627']",['1490776']
"['7692592', '0314041']",['0785879']
"['7845309', '7845310']",['7301558']
"['0312188', '0441546']","['5203672', '0723704']"
"['5465253', '1764808', '0793687', '2154425', '1302888']",['2238569']
"['0441358', '0766279', '7180758', '0648770']",['0766279']
"['0441358', '0766279', '7180758', '0648770']",['0766279']
"['7125847', '5979165', '2022340', '5998343']","['5998345', '7125846']"
"['0441358', '0766279', '7180758', '0648770']",['0766279']
"['0441358', '0766279', '7180758', '0648770']",['0766279']
"['0441358', '0766279', '7180758', '0648770']",['0766279']
"['2661067', '1498450', '1175408', '0304685', '3385837', '3459264', '2607786', '3924585', '3824071', '2105681', '0653016', '1487952', '0717499', '4043388', '0006588', '0936227', '0942346']",['1095164']
"['3045431', '10819788']",['1011775']
"['0441358', '0766279', '7180758', '0648770']",['0766279']
"['0116369', '0157692', '2549210', '0288263', '4351620', '0325320', '1837046', '1021806', '1493950', '3831972', '6101428', '0820908', '0870369', '2524891']",['0213354']
[],['4392056']
"['0441358', '0766279', '7180758', '0648770']",['0766279']
"['0441358', '0766279', '7180758', '0648770']",['0766279']
"['0441358', '0766279', '7180758', '0648770']",['0766279']
[],"['0593420', '0689412', '0899329']"
['4490157'],['4490157']
[],['2032664']
[],['2621812']
"['4971200', '6503942']",['4971200']
[],['2077396']
"['0368979', '2488088', '2797554', '3441844', '2488310', '2486507', '2487787', '2981093', '9072856', '8703369', '5487989', '4397692']",['2518118']
[],[]
"['0441358', '0766279', '7180758', '0648770']",['0766279']
"['0067250', '1786629', '4614858', '3996993', '3212784', '1819369']","['1389969', '0902741']"
"['4384336', '5725087', '0411070', '4384370', '0442930', '7332879', '2243723', '8082832', '2631098', '12043758', '3420613', '12043757', '0645817', '12043760', '0999118', '1019091', '12043759', '5815730', '10876217']","['1060975', '1315809', '0999118']"
['7880588'],['7880588']
"['0310602', '2408282', '0649629', '1466077', '6186251']",['0649629']
"['12322331', '4645793', '3309461', '2676892', '3834107', '9298270', '6384351', '5808543', '0913803']",['1061192']
[],[]
"['0005124', '0630923', '0729304', '0004056']","['0230032', '0215455']"
"['7078747', '1581464', '3222288']",['1581464']
['0814842'],"['7332502', '7332501', '7370808', '7344062', '6747521', '7337307', '7341980', '7332504', '7375598', '7370809']"
"['0097001', '0148167', '7220997', '4771033', '1458626', '1380146', '0547880', '1261085', '0651706', '7782138', '2551900', '2185250', '0711493', '1417039', '1417340']",['0651706']
"['7352426', '7352425']",['7352416']
"['2544441', '2549220', '3175946', '6230030', '6230031']",['6216421']
"['1857204', '4118473', '0496556', '10887207', '2553560', '1718131', '5808543', '4119034', '7127789', '10887208', '10887209']","['6327014', '0383020']"
['11174996'],['11174996']
"['4779003', '5786171', '6809092', '6809093', '6190737', '0420685']",['1509886']
[],['6964310']
"['12487170', '0306042', '11701517', '6297907']",['0306042']
"['4677440', '6589423', '2846368']",['2846368']
['0163794'],['0163794']
"['0372329', '1873168', '0577560', '0719208', '2454185']","['0049633', '1853544']"
[],['1238441']
"['6119199', '12516029', '11901152', '3525843', '2797554', '12516030', '5072314', '0442930', '2154825', '6014329', '6119198', '1046177', '0757334', '9030391', '4196813', '4874112', '3640133', '10729242']",['3558314']
[],['4988988']
"['2642416', '3006087', '7662386', '3343471', '7655314', '4347801', '5762462']",['4327994']
"['4384336', '0216651', '0218838', '2362356', '1458457', '1458626', '4044803', '5725087', '4384370', '1268946', '8682983', '2426118', '0959109']","['2903634', '1458457']"
[],"['7928170', '7928169']"
"['1054433', '2731232', '1436417', '4022213', '1658136', '3838311']","['2916570', '12494631']"
"['1314361', '2592901', '5546044']","['3576921', '5365294', '3164332', '5869682', '7501106', '3069847', '7501109', '7501053', '7501105', '7501112', '7501051', '7292922', '7501052', '1314361', '4643394', '6355054', '7501054', '7501111', '7501039', '7501040', '7501055', '7501056', '2592901', '5546044', '7501037', '7501108', '7501110', '7501107', '7501041', '1760895', '7501050', '7501038']"
"['3689938', '2995520', '4810193', '0470554', '1416232', '2032614', '3218955', '7472552', '0930964', '7472551']",['1093728']
"['1037430', '1211903', '3664111']","['0457124', '2420940']"
"['6690132', '1075131', '0797461']",['0947869']
"['7484882', '8948290', '8948291', '0004976', '2369840', '1876533', '0000165', '8948292', '0456946', '0007081', '0821721']",['0918465']
['10557088'],['2013928']
[],['7420120']
"['10493697', '9473787', '3380149', '8079415', '3778782', '8171816', '10402677']","['8232692', '3778782', '8788119', '6386378', '6794040', '10222384', '4528296']"
"['4001554', '4189780', '9202968', '8823532', '5722288', '9015943', '1536195']",['1070665']
[],['7440260']
[],['4679096']
[],[]
['3211248'],['5012192']
"['7286741', '3205968']",['3443548']
[],[]
"['0203345', '1882146', '0797053', '1444261']",['0797053']
"['0814167', '4381906']","['3589896', '0834574', '1026538']"
"['5635987', '7449946', '7449947', '7449944', '0867225', '7449948', '1438897', '7449945', '7291132']",['7291131']
"['7275326', '1549716', '2097733', '7725299', '3675414', '3022345', '5862498', '2929057', '6852821', '6877612', '1084385', '5601564', '2510203', '7725300', '2967424', '0847182', '5159016', '7725301']",['0396074']
"['4484386', '0222890', '0278649', '0007087', '3026772', '3279466']",['1196726']
"['3048548', '3054279', '9549369', '0434616', '0444634', '2685782', '0567079']",['0832770']
"['6914048', '2577652', '7537260', '2810266', '3046679', '6004297', '2625837', '4371294']",['0951197']
"['13177992', '13177991', '13177993', '7069396', '9129264', '13177990', '10723507', '3674544', '1316079', '2370385']",['0913809']
[],['6955838']
[],['1837867']
"['10231699', '10231698', '10231700', '4329109', '2289527', '4809574', '3984065', '1618263', '2925564', '4228797', '4228384', '6852821', '0800493', '0837557', '9589243', '2372234', '0879922', '2274371', '4729301']","['4738743', '1479700']"
['5035639'],['8892726']
"['11462872', '11462873', '7571652']",['6717822']
"['0875321', '7444529']",['7444528']
['1295594'],['5221980']
"['3111493', '2401026', '5063409', '3123638', '2086887', '5044771', '5053407', '5427449', '3131570']",['3111493']
"['0027178', '0212868', '0219785', '2625482', '3921896', '0685597', '1019013', '5316251', '4333819']","['0324713', '1746859']"
"['11462872', '11462873', '6717822', '4441079']",['7485367']
"['3096205', '1226489', '2256510', '1966244']",['3096205']
"['1946485', '1771408', '0278606', '1088412']","['2899643', '1433999', '1638108']"
"['8011366', '5737753']","['8011361', '8011360']"
"['5698512', '5699118', '5418871', '5699889']",['5699889']
"['7517107', '3670803', '0605278', '7325261', '2319883', '1349604', '2331804', '7671299', '2949944', '2315467']","['2319883', '1349604', '5228798']"
"['0971743', '0100040', '0192032', '2904825', '3860805', '2993952', '8549478', '4086340', '0741925', '3859912', '4279702', '0894219']",['0852244']
"['9937979', '7879079', '5488249', '4875458', '8615517', '7529321', '1984252', '1999545', '11716511', '8075614', '10472332', '3337956', '9772393', '4859119', '1780241', '1989445']",['1011775']
[],['6099950']
"['8751647', '2966130', '0955100']",['8751644']
"['4232717', '1973308', '0057623', '0097429', '7864046', '3988368', '5937971', '0309027', '1098024', '1968081', '0733730', '7864045', '0757661', '0875671', '2826348', '4232821']",['1955897']
"['6598617', '2846540']",['0125340']
[],['0766218']
['1034571'],['1034571']
"['4189780', '1994558', '12012279', '7254237', '3984065', '11897899', '9443600', '9026708', '1618433', '5972840', '9757667', '12012280', '7126596', '4040390', '9030997', '9740804']","['2462651', '1238441']"
['0081038'],['0081038']
[],['7570217']
"['2384784', '2096462', '5270381', '0278322', '8176232', '1363595', '2122478', '0442109', '8176233', '8176234', '2957229', '4362288', '1332799', '0821786', '1533266', '5246381']","['2122478', '0442109']"
"['0033870', '5945396', '5945393']",['5945392']
"['4334810', '4335012', '7007262', '9264427', '3467113', '1570832']",['3508637']
"['3428667', '4350218', '0053070', '7708261', '0275651', '0295089', '2844322', '0576987']",['2222834']
"['4384336', '2091232', '0214862', '0320868', '5725087', '4384370', '6442318', '0999118']","['0271246', '0300944']"
"['5508647', '10723837', '13036058', '8490339', '1046177', '3432072', '7399264', '13063448', '4922039', '13063447', '2209559', '11516149', '5815730']",['3418635']
"['2039708', '0142792', '4984912', '5813583', '2055719', '7403852', '7288895', '2803796', '1975459']","['1897646', '1891512']"
"['2109290', '0205510', '0627965', '1010156']","['2154278', '2149505']"
[],['4679096']
"['0997125', '8023769', '0473539', '6852821', '3834107', '1729631', '2237137', '5036518', '4625266', '2325764', '0879922']",['2171473']
"['0007317', '2927116', '2260661', '2551628', '2358786', '1515353', '5985121', '6071803', '1471429', '1111302', '2041361']","['1302411', '2191144']"
"['0064962', '0184445', '1217151', '0613740', '0001191', '0806912', '2137570']",['0850733']
"['1656397', '3985150', '2247998', '0381395', '1173125', '1032543', '1743612', '0315180', '1253610']",['2337269']
"['4384336', '1766942', '2008067', '4384370', '0433355', '5516837', '1038878', '8166124', '1315809', '0999118', '0869088', '2103068']","['1038878', '4180240']"
['3329747'],['3329747']
[],['2925947']
[],['3045431']
"['3034655', '5221655']",['0408051']
"['9039520', '9039519']",['9039511']
[],[]
"['2316658', '3199636', '1859539', '5239185', '3875832', '2552282', '2344129', '3325349', '1898045']","['2316658', '0482452']"
"['5057815', '11021181']",['7655427']
"['2282744', '0089989', '0119946', '0133150', '4951691', '2126361']","['0316139', '0795842']"
"['4650059', '13473952', '8893846', '6851864', '2156320', '6852821', '5353972', '1985881', '6707770', '3625350', '12990396', '2325764', '13248551', '0879922', '2427032', '1392363', '6931664', '3835400', '9740804']",['2606944']
['9028189'],"['9028189', '1856821']"
"['1401803', '0204102', '5833341', '3614484', '1792351', '1114627', '3614442', '3614445', '10001802', '1015441', '2426970', '2266393', '4810862', '0922346']","['3581036', '1747786']"
"['0032696', '1633269', '0297790', '8630529', '8630527', '3000885', '0475238', '1524247', '2648075', '0792438', '8568797', '0793593', '0921627', '8630528']","['2389045', '2393011']"
[],['12083756']
['1825331'],['2106115']
"['10960360', '7802695']","['4408508', '8167328', '2317489', '5460645', '2966130', '3396542', '7407874']"
"['0082450', '2421049', '0776441', '0871303', '2370700']",['0553942']
"['5406260', '6915173', '7355137']",['5406260']
"['1313786', '1699676', '1293883', '7673397', '7673399']","['0299455', '0668165']"
"['2640850', '0398971', '7694397', '1819632', '7694395', '7694394', '7694399', '7694398', '2587908', '7694393', '0003826', '2637331', '9562174', '7694396']","['0285152', '1502998']"
[],[]
[],[]
"['8210948', '2981558', '2990595', '8210947']",['1558799']
[],['1483822']
"['0010530', '6973307', '0072280', '4571949', '1021375', '8819877']","['5399335', '0157345', '5760173', '1454993', '3472612']"
"['1650390', '0783652']",['7704725']
"['4001554', '4650059', '8911664', '2116598', '7425658', '5108158', '2718604', '12905356', '2436077', '6852821', '1729631', '2121751', '7993105', '7401522', '1780241']",['1531945']
"['1480420', '1491111', '0588087', '5981536', '2652213']",['0184308']
['2520958'],[]
['3426117'],['3426117']
"['5072314', '9030391', '12508670', '1063028', '1084061']","['0408086', '0946654']"
['8977688'],['8977688']
"['1458571', '4848863', '4247366']","['7368361', '4247366']"
[],['4400126']
"['3783013', '7736404']",['3783013']
['2464468'],['5377013']
"['1216321', '0005124', '0714066', '0004056', '0881279']",['0812307']
"['7748105', '0094080', '6667558', '7748107', '2477469', '7748106']",['0264925']
"['2156320', '5574066', '3625350', '1259616', '1392363', '3835400']","['0034712', '0620236']"
"['0217454', '3004893']",['3004893']
"['0255540', '3902881', '7537260', '7698164', '4139553', '6229764', '0709349', '2593168']","['0073297', '2324626', '0255540', '4064878']"
"['1014432', '7766428', '4183265', '0728183', '1137911', '1879358']","['0693648', '1496018']"
"['6552212', '2429392']",['7415565']
"['7494712', '1589626', '1644698', '8443473', '7494715', '7494713', '7494714', '3214647', '0800493', '3474637', '4539529', '7595966']",['1011775']
[],['7692088']
[],['2375036']
"['8778326', '2965582', '2488332', '5500358', '2797554', '6167438', '2303023', '0442930', '6894739', '0496556', '6167439', '8811242', '5862500', '7332876', '4827490', '5137174', '0457961', '2155063']",['1598205']
[],['0766218']
"['9781839', '10610225']","['9781839', '10610225']"
"['2116598', '0368979', '2511908', '2488088', '2797554', '3441844', '7714747', '2488310', '5941683', '4049786', '7807387', '2981093', '9127465']",['1856817']
"['0046559', '0439739', '0571777', '0586969', '1651942', '0823295', '0856661', '2136891', '0914014']",['0065608']
[],['0458185']
"['6372355', '4256098', '3713130', '6095385', '6336449', '6735790', '8313733', '2496194']","['6735778', '6336449']"
[],['2925947']
"['7564488', '7564489']","['7564488', '7564489']"
"['0661791', '9520392', '0437652', '10784942', '9383304', '8898498', '2009249', '1367410', '8898492', '6539920', '8882188', '9154011', '1090121', '5543825']","['6539920', '5485894']"
"['1662741', '1662742', '0034792', '0039962', '1668027', '5961389', '0192032', '3242555', '5440708', '1955539', '4682392', '2993794', '0223107', '0441546', '8076454', '4402212', '7628446', '2993952', '8549478', '1440585', '5837279', '8076456', '8076451', '2728742', '5084660', '4177556', '8076457', '2619713', '8076458', '0949828', '0949899', '6473822']",['1222421']
['1757129'],"['1091436', '2907074']"
"['1549716', '7286741', '0410984', '7166959', '10364966', '7438664', '9589242', '6780375', '5094636']",['8529786']
[],['5555935']
"['1939774', '5150008', '7757916']",['1939774']
"['5357949', '7587055', '7403143']","['7403142', '0896139']"
"['3791604', '0102407', '2358786', '0395393', '1356228', '9285293']",['1302411']
['13202628'],['8011360']
['4102845'],['4578760']
"['2588638', '5486440', '1378045', '0359189', '2898027', '2587908', '1713280', '5485020']",['2587908']
['3385459'],['3385459']
"['0347342', '6438637', '0688833', '0704379']",['0347342']
[],['4709524']
['2698202'],['2698202']
"['7128217', '7128211']",['7128211']
"['3800060', '6347775', '7296684', '7272151']",['6347772']
"['3800060', '6347775', '7296684', '7272151']",['6347772']
[],[]
['6883172'],[]
['7664562'],['7664562']
"['7679942', '7679941']",['7679942']
"['6561619', '3795525', '7697532']",['6561619']
['7541285'],"['7541285', '0479114']"
['0287858'],['0287858']
"['5676424', '3730084', '7421328', '7907267', '5654394', '7509342', '3725731', '1497731', '7976061', '4928501']","['5201307', '3844710', '8134243', '3730084', '7421328', '3589751', '7507615', '7928407', '7509342', '3725731', '7507618', '6230496', '3872184', '8134234', '1497731', '4603060', '7907264', '7976061', '4928501', '7671724']"
[],"['0276414', '1202628']"
"['9177887', '10379084', '10379053', '3984493', '4527936', '10381199', '10379082', '5371819', '7752378', '10073909', '1047180', '10379083']","['0645756', '1047180', '3296606', '6017036']"
[],['5598697']
[],['8769620']
[],[]
[],['8869731']
[],['4695372']
[],[]
"['1650390', '10240701', '0783652']",['2591840']
"['5057815', '11021181']",['7655427']
[],['5174437']
['8485034'],['8485034']
"['7059620', '3309461', '2286030', '1562757', '5809442', '2676892', '3834107', '5808543', '4440796', '12514343', '3075624']","['3361397', '0793840']"
"['7286741', '3205968']",['3443548']
"['5592581', '5594968']",['2929125']
"['7275115', '9061198', '7254237', '9209043', '2823870', '8961432', '12056912', '11755100', '12056913', '9061199', '7590120', '10458413']","['0866944', '0946223']"
[],[]
"['2696753', '2698208', '6753779', '12173739']",['0297369']
"['0008743', '0074184', '0167795', '0868219', '1915863', '6206158', '2548474', '0593610']","['1868917', '0950775']"
[],['5694753']
"['2529974', '0726898', '7644108', '0004325', '1507430']",['4212312']
['9581771'],"['9581771', '10531486']"
"['8982617', '5954898', '1645959', '8982609', '8982620', '8029687', '5954900', '5941055', '8982613', '8982612', '8982618', '8982614', '8982608', '5954899', '0489441', '2612510', '8982607', '8982616', '1963114', '8982611', '0001579', '0201524', '8982615', '7284059', '6814961', '8982610', '0738736', '8982619']","['1645959', '0475211', '0306452']"
[],['0754503']
['0357482'],['0357482']
['10819788'],['5263494']
['4582762'],['4582762']
"['2761920', '2777394', '0303034', '0562775', '0661549', '2671101', '0823721', '0887263', '9097273']","['1062463', '0823721', '0562775']"
"['2305502', '7509663', '2324815', '7335983', '10213836', '7335981', '2327653', '3395447', '7301486']","['7335981', '2305897']"
"['1857204', '4118473', '0496556', '10887207', '2553560', '1718131', '5808543', '4119034', '13289005', '10887208', '10887209']","['6327014', '0383020']"
[],['0015085']
[],['7387752']
"['0481352', '0005124', '1243271', '1192875']","['0397174', '0601781', '1158544']"
"['7919618', '2965582', '8911664', '5923603', '7919619', '0594477', '5862500', '7499653', '7599724']",['0766272']
"['5971173', '4771979']",['4771979']
"['4813811', '1603001', '5638572', '7464755', '6644906', '1159610', '5196640', '5638339']",['1159610']
"['3486337', '0252289', '1754635', '8077270', '0670072', '2164543', '1598600', '0770212', '0797041']","['0115825', '0252289', '0797041']"
"['1633269', '3084002', '0792438', '8568797', '9039545', '0921627']",['7395073']
"['6678674', '3309461', '6851864', '1729631', '7993105', '12858418']",['2638876']
"['3977111', '12213899', '12213900', '8741255', '2154825', '1046088', '12213898', '6046640', '12213895', '12213896', '10472332', '12213897', '9365142', '8056847']",['1680288']
"['1104057', '3097612', '5917467', '5917463', '1289967', '1289971']",['1289967']
"['1075038', '8971393', '7696077', '5650752', '2031767', '7696076', '2311450', '0913305', '2428449']","['2313736', '3102700']"
[],['3603277']
['13572028'],[]
"['11650118', '4802913']",['11651272']
"['1948121', '7845589', '5954205', '7008154', '7408854', '8929914', '2009249', '3116046', '8929913', '0518073', '4437683', '1745937', '1090121', '7762925', '0939147', '10112291']","['3815946', '5245325']"
"['7494712', '1589626', '7494715', '7494713', '7494714', '3214647', '3474637', '4539529', '7595966']",['1011775']
[],['1680288']
"['3367048', '2691892', '0974662', '3337617', '1698571', '1706767', '3773434', '1195366', '1859056', '0736622', '3782043', '1238966', '0970447', '4384917']","['0862911', '0970447']"
"['7712460', '8017494', '6461476', '4612317', '1978988']",['3603975']
"['0184272', '2929909', '2390048', '0399746']",['2113056']
['4459388'],['0117806']
[],['4199099']
"['4830845', '2446178', '3613566']",['3613566']
[],['7407449']
"['4228581', '5418157', '8820997', '5418119', '8820998', '8835107', '2648766', '7459846', '2484000']",['2648766']
"['0022692', '7937514', '0537350']",['2560441']
['7279709'],['7279709']
"['2826089', '5078800', '0828882']",['3452373']
"['1454010', '8451494', '0095666', '8451495', '7483626', '2095752', '2095010', '0219785', '8451496', '7916424', '2686579', '0289324', '1803236', '2433495', '1894382', '0511605', '1750217', '7916425', '1083489', '8451497', '2469089', '2291905', '2247287', '0714099', '0215502', '1103606', '5482415', '2564216', '0881008', '6254147', '2820706', '2743253', '8451498', '5262298']","['1083489', '0165995']"
"['1755356', '0485130', '0689780', '0699372', '2403279', '0001825']",['0699372']
['0630195'],"['8040085', '8040083', '8163439', '0630195']"
"['2270022', '3496815', '7573116', '0473539', '6877612', '5870684', '1082471', '5014738', '13036758', '1147358']",['2032664']
[],['6637722']
"['3760679', '0082841', '7978822', '8367156', '3128907', '2201957', '3760955', '7978823', '3931476', '6194348', '5624924', '0440344', '8367155', '3893921', '6081853', '8367153', '8367152', '1098194', '0511605', '8367154', '8367159', '5371827', '8850065', '7978821', '8367158', '8367157', '3480541']",['0005616']
"['8122341', '4139553', '6229764', '0783652']","['6512883', '6305117']"
"['11943484', '11943482', '10231698', '6413813', '11943486', '11943490', '11943488', '6914049', '11943485', '3984065', '8377304', '11943489', '10279844', '2072699', '1444457', '11943483', '11943481', '1916577', '11943491', '11943487', '6704231']",['0476663']
"['0193484', '8012803', '8012804', '2844866', '3239209']",['2844866']
"['2116598', '0368979', '2488088', '2797554', '2488310', '2487787', '2981093', '4438749']",['2128776']
[],['1718446']
"['1701585', '5581186']",['5581186']
['8211330'],['8211330']
"['2805697', '4678928', '2588950', '0612049', '6876870', '0934671', '1771554']","['0443505', '0717678']"
"['4830845', '3613566']",['1090408']
[],['0913809']
[],['1483822']
"['0552909', '1258546', '0858196']",['0490736']
"['7286741', '3205968']",['3443548']
"['4384336', '2601186', '0323007', '2257325', '1572145', '4384370', '1519403', '8442481', '4752699', '7412745', '1315809', '0999118']",['1957706']
[],['12083756']
"['0050097', '0490375', '0727235', '0861591', '1384079']",['4267759']
"['1193981', '0146434', '1165365', '0544947', '5398118', '0701813', '1335650', '0815081', '0840699', '0847223']",['0240196']
[],['4529114']
[],['3210514']
"['5529393', '3218112', '0191349', '0434616', '0444634', '0567079', '7605570', '2505377', '7028468']",['0832770']
"['5072314', '9030391', '12508670', '1063028', '1084061']","['0408086', '0946654']"
[],['0959970']
['5373590'],['5373590']
['4529114'],['4529114']
[],['4392056']
['5043046'],['6530926']
['4529114'],['4529114']
[],[]
"['0344860', '9576277', '10304597', '2174239', '9676132', '9576275', '2412975']","['2139972', '2412975']"
"['0172491', '0005124', '0730141']","['0004056', '0533691']"
"['7571652', '8181309']",['0950908']
"['0281599', '0298041', '2281198', '0644897', '0893744', '0898750']",['0281599']
"['8684296', '5643041', '7834749']",['5643041']
"['2135892', '1776737', '8055739', '1021459', '2180192', '0317935', '3210515', '0436901', '4000946', '7637828', '8056003', '8024462', '4052059', '0588199', '8024463', '1327842', '1156284', '0783147', '8056006', '8056007', '3679821', '1234849', '0911117', '8069601', '3015447', '5197781', '8056009', '6124080', '4950348', '7594659']",['0105169']
"['1193981', '0501590', '1386177', '0674697', '5398118']",['0481451']
"['0372329', '1873168', '0577560', '2454185']",['0719208']
['10531236'],['4965130']
"['1000858', '1442595', '0757858', '0917188']","['0862211', '1154886']"
"['2773452', '3530321', '5073036', '1549716', '3675414', '4810515', '3022345', '5582775', '2625584', '3099985', '6877612', '1084385', '0645817', '1070213', '5903092', '5808543', '6209194', '5022625']","['1012102', '0951197']"
"['8348940', '1175408', '8348934', '8348935', '0395342', '8348933', '4383677', '8348936', '8348939', '0691533', '0717499', '8348941', '8348938', '8348937']",['0691533']
[],['2179963']
['0092563'],['0092563']
"['5381954', '5409246']",['5409246']
[],[]
"['0150829', '8194801', '2044045', '0160935', '5531186', '4443317', '8194803', '8194804', '4848863', '2653362', '8194802', '6764087', '2194860', '8082506']","['4443317', '8082506']"
"['7355163', '7527618']",['7355163']
"['4189780', '0368694', '1549716', '2097733', '5147232', '3356206', '2929057', '1346579', '1646350', '5769607', '8823532', '4370574', '9146309']",['1396121']
"['8108474', '2720680', '5146946', '2773452', '0368073', '2059389', '9645684', '1407291', '3831545', '4235101', '9988971', '1046511', '2731214', '8663501', '0814167', '1675491', '2057224']",['1481959']
"['8363225', '8363228']",['8363225']
"['0517318', '2847097', '7048688']",['3740823']
"['2773452', '9777950', '4809574', '12899503', '12899502', '10364966', '9008207', '1520917', '12899501', '3955462', '6147246', '4198675', '0793687', '4539529', '6209194']",['5658508']
"['6914048', '2577652', '5468610', '8780790', '8780783', '0348819', '8146781', '7537260', '0410985', '6914049', '2810266', '8780787', '8780789', '3984065', '0473539', '3046679', '8780792', '7537258', '4370666', '4783760', '2137917', '1574447', '8780785', '4371294', '2520316', '5014738', '8780786', '0945669', '0948944', '4370574', '10876217']",['0951197']
"['3262424', '3370448']",['3262424']
"['1633269', '0227625', '8706384', '6977809', '9008196', '3601540', '0921627', '8706322']",['5060335']
"['0122334', '5769606', '2276130', '0578195', '1882146', '0863622', '0882388']",['0515005']
"['5923603', '11901152', '2161957', '0538592', '4626844', '1046177', '2961904', '1628530', '3955462', '4196813', '9966291', '1417430']",['2116473']
['8067617'],['8080910']
"['8736917', '8736918', '5646970', '2279694']",['5221980']
[],['3724905']
"['2262057', '8380154', '2289030', '1065253', '0285182', '1690589', '1107663', '2846368', '2650143']",['2650143']
"['0310602', '2408282', '0649629', '1466077', '6186251']",['0649629']
"['3791871', '0184272', '0191349', '2968533', '0240504', '3921896', '0434616', '1934714', '0685597', '1961279', '2505377']","['1061371', '0324713']"
"['1325899', '2302718', '1750312']",['1325899']
"['8703413', '4329109', '5391372', '7050185', '2797554', '11960136', '3674021', '3984065', '1780188', '1046177', '8693847', '9008207', '11960135', '6852821', '2209559', '0757334', '9589243']",['6099950']
"['0096115', '2324815', '1566098', '1642850', '6556304']","['7892898', '5672919']"
"['7059620', '3309461', '2286030', '12988149', '1562757', '5809442', '2676892', '12988150', '4440796', '4001143', '12514343', '3075624']","['3361397', '0793840']"
['8581421'],['8581421']
"['3092037', '3947193', '6589423', '2846368']",['2846368']
"['7040899', '8824422', '0212868', '1112550', '5713501', '1854009', '5042934', '2067783', '5316251']","['8302351', '8330829', '0266255']"
[],['2934654']
[],['7039210']
['8471487'],[]
[],['4867429']
[],['2150730']
['8469067'],['8469043']
[],['8420391']
"['12324399', '8579661', '3846712']","['2405489', '0766226']"
[],['1238441']
"['0372329', '1873168', '0451035', '0577560', '2454185']","['1134029', '2888554']"
"['0089669', '1021351', '1455645', '7988437', '2769688', '2690651', '0957505']",['2690651']
['6758812'],['6758812']
"['4233411', '6079835', '8966684', '8158362', '0000546', '2618354', '0687739', '3056520', '2985706', '5714519']","['1621651', '0687739']"
[],['1212034']
"['0368979', '2951215', '5621493', '2488310', '2487787', '7807387', '2521345', '9127465', '5621689', '8909701', '4397692', '4001143']",['2210720']
['11086406'],['11086402']
"['0275629', '0470614', '0506977', '0520488', '0588087', '6518391', '0720135', '3261012', '2972864', '0831557']","['0831557', '0842339']"
[],['1483822']
[],['1011775']
[],['8257030']
"['1298182', '2109290', '0205510', '0278606', '2436273', '0627965', '1010156']",['2154278']
[],"['0041334', '0665262']"
"['8076295', '8076301', '7753499', '8076297', '8076302']",['8076295']
"['8774553', '8774564']",['8774553']
"['1079521', '6238497', '1681290', '0897797', '1443233']",['1329154']
"['1709401', '0532696', '0744384']",['0643664']
"['9253253', '8631175']",['5794009']
"['7595475', '0224712']","['6740995', '0054659', '1327113', '2341926', '8359857', '8526494', '7788845', '2204470', '7697314', '5400067']"
[],['9261999']
"['2910066', '0444634', '0567079', '2789798']",['1660249']
[],[]
"['3002021', '0142134', '0283557', '1729114', '0450267', '0469472', '0666248', '0732411', '0763468', '0777359', '1568142']",['0139867']
"['2398585', '2276130', '0578195', '1882146', '1131680', '0882388']",['3262328']
"['0008743', '0074184', '1108093', '2427162', '0790116']","['0593610', '0230666']"
[],['2150730']
['5643041'],['5643041']
"['6323965', '1480420', '1491111', '2652213']",['2910706']
"['8340646', '8340654', '8340643', '8340621', '3500004']",['3500004']
"['8351642', '5696147', '8351643', '5022643']",['3701958']
"['1872988', '1332842', '1028742', '5635987', '3882588', '0303922', '6816867', '0441236', '4385418', '0481923', '1481660', '8714497', '13060516', '1093545', '0869930', '7181935', '1438897', '2242141']","['3384529', '4385418']"
"['2725969', '0576559']",['5082788']
"['2287038', '5450480', '2524785', '0109076', '3679133', '3349401', '0514655', '2404683', '1272875', '2847097']",['1137142']
['2661688'],"['2661688', '8861585']"
"['8300833', '2043517']",['3255479']
"['1723708', '1414927', '3278504', '1457753', '0412247', '1811243', '0745689', '1552771', '1133525']","['0838599', '2908199', '0562775', '0896139']"
"['0394511', '4459388', '4425940', '0652443', '9386109', '0873400', '9385642']",['4485990']
[],['8541301']
['1263087'],['6059656']
"['0538592', '0555470', '7267962']",['0441090']
['7562207'],['7562207']
"['2423533', '5814327', '1627417']",['0405329']
"['2773452', '2919198', '2631098', '1371924', '1525260']","['4396873', '0436784']"
"['3421690', '0416134']",['0416134']
"['3185142', '1279774', '3976198', '0819764', '0916606', '5548372']",['1893665']
[],['0512064']
[],['6629238']
['13665249'],['13665249']
"['6376248', '11057326']",['3348461']
